time	V(Reset,R-PI_GND)	V(pulse)	V(reset)	V(vl)
2.951436198600277e-002	3.300547e+000	0.000000e+000	-1.752130e+001	4.728395e+001
2.991490519889339e-002	3.309090e+000	0.000000e+000	-5.615468e+001	8.316461e+000
2.999119914420589e-002	3.310699e+000	0.000000e+000	-6.350857e+001	8.602245e-001
2.999501384147152e-002	3.353844e+000	0.000000e+000	-6.383292e+001	5.304236e-001
3.000264323600277e-002	3.473312e+000	0.000000e+000	-6.419003e+001	1.624547e-001
3.001790202506527e-002	3.310875e+000	0.000000e+000	-6.433080e+001	0.000000e+000
3.144187401864786e-002	3.306526e+000	0.000000e+000	-6.234984e+001	0.000000e+000
3.286584601223045e-002	3.303494e+000	0.000000e+000	-6.042453e+001	0.000000e+000
3.428981800581304e-002	3.301778e+000	0.000000e+000	-5.855488e+001	0.000000e+000
3.571378999939563e-002	3.301380e+000	0.000000e+000	-5.674089e+001	0.000000e+000
3.713776199297822e-002	3.302298e+000	0.000000e+000	-5.498257e+001	0.000000e+000
3.856173398656081e-002	3.304534e+000	0.000000e+000	-5.327990e+001	0.000000e+000
3.998570598014339e-002	3.308086e+000	0.000000e+000	-5.163289e+001	0.000000e+000
3.999333537467464e-002	3.448029e+000	0.000000e+000	-5.148425e+001	1.400037e-001
4.000859416373714e-002	3.372993e+000	0.000000e+000	-5.070203e+001	9.051636e-001
4.001240886100277e-002	3.307800e+000	0.000000e+000	-5.039013e+001	1.212880e+000
4.008597802255411e-002	3.306193e+000	0.000000e+000	-4.311650e+001	8.412333e+000
4.015954718410545e-002	3.304592e+000	0.000000e+000	-3.586862e+001	1.559772e+001
4.023311634565679e-002	3.302997e+000	0.000000e+000	-2.864649e+001	2.276904e+001
4.030668550720813e-002	3.301409e+000	0.000000e+000	-2.145011e+001	2.992629e+001
4.038025466875946e-002	3.299826e+000	0.000000e+000	-1.427947e+001	3.706948e+001
4.045382383031081e-002	3.298249e+000	0.000000e+000	-7.134582e+000	4.419860e+001
4.052739299186214e-002	3.296679e+000	0.000000e+000	-1.543939e-002	5.131365e+001
4.055409587272152e-002	3.296109e+000	0.000000e+000	2.556128e+000	5.388655e+001
4.058079875358089e-002	3.295541e+000	0.000000e+000	5.121950e+000	5.645521e+001
4.060750163444027e-002	3.294975e+000	0.000000e+000	7.682025e+000	5.901962e+001
4.063420451529964e-002	3.294411e+000	0.000000e+000	1.023636e+001	6.157980e+001
4.066090739615902e-002	3.293849e+000	0.000000e+000	1.278494e+001	6.413573e+001
4.068761027701839e-002	3.293289e+000	0.000000e+000	1.532778e+001	6.668741e+001
4.071431315787777e-002	3.292730e+000	0.000000e+000	1.786487e+001	6.923486e+001
4.086199643773268e-002	3.289651e+000	0.000000e+000	3.184450e+001	8.330084e+001
4.100967971758759e-002	3.286632e+000	0.000000e+000	4.552944e+001	9.711482e+001
4.115736299744250e-002	3.283673e+000	0.000000e+000	5.891969e+001	1.106768e+002
4.130504627729741e-002	3.280773e+000	0.000000e+000	7.201524e+001	1.239867e+002
4.145272955715233e-002	3.277932e+000	0.000000e+000	8.481611e+001	1.370447e+002
4.160041283700723e-002	3.275152e+000	0.000000e+000	9.732228e+001	1.498506e+002
4.174809611686214e-002	3.272430e+000	0.000000e+000	1.095338e+002	1.624046e+002
4.203910302255411e-002	3.267371e+000	0.000000e+000	1.326147e+002	1.862952e+002
4.233010992824608e-002	3.262721e+000	0.000000e+000	1.536374e+002	2.082383e+002
4.262111683393804e-002	3.258482e+000	0.000000e+000	1.726021e+002	2.282338e+002
4.291212373963000e-002	3.254652e+000	0.000000e+000	1.895086e+002	2.462817e+002
4.320313064532197e-002	3.251232e+000	0.000000e+000	2.043570e+002	2.623820e+002
4.349413755101393e-002	3.248221e+000	0.000000e+000	2.171473e+002	2.765348e+002
4.378514445670589e-002	3.245621e+000	0.000000e+000	2.278794e+002	2.887401e+002
4.423364386379295e-002	3.239187e+000	0.000000e+000	2.385812e+002	3.019494e+002
4.468214327088000e-002	3.235430e+000	0.000000e+000	2.434044e+002	3.091949e+002
4.513064267796706e-002	3.234352e+000	0.000000e+000	2.423488e+002	3.104766e+002
4.557914208505411e-002	3.235952e+000	0.000000e+000	2.354145e+002	3.057945e+002
4.602764149214116e-002	3.240230e+000	0.000000e+000	2.226016e+002	2.951486e+002
4.647614089922822e-002	3.247186e+000	0.000000e+000	2.039099e+002	2.785388e+002
4.692464030631527e-002	3.256821e+000	0.000000e+000	1.793396e+002	2.559653e+002
4.699957185974719e-002	3.257807e+000	0.000000e+000	1.748064e+002	2.517244e+002
4.707450341317911e-002	3.258834e+000	0.000000e+000	1.701484e+002	2.473505e+002
4.714943496661102e-002	3.259903e+000	0.000000e+000	1.653654e+002	2.428436e+002
4.722436652004295e-002	3.261012e+000	0.000000e+000	1.604576e+002	2.382036e+002
4.729929807347487e-002	3.262163e+000	0.000000e+000	1.554249e+002	2.334305e+002
4.737422962690679e-002	3.263355e+000	0.000000e+000	1.502673e+002	2.285245e+002
4.744916118033871e-002	3.264587e+000	0.000000e+000	1.449848e+002	2.234854e+002
4.745679057486996e-002	3.264786e+000	0.000000e+000	1.444412e+002	2.229660e+002
4.763989604361996e-002	3.267771e+000	0.000000e+000	1.309179e+002	2.100018e+002
4.782300151236996e-002	3.270870e+000	0.000000e+000	1.168787e+002	1.964606e+002
4.800610698111996e-002	3.274084e+000	0.000000e+000	1.023236e+002	1.823422e+002
4.818921244986996e-002	3.277413e+000	0.000000e+000	8.725266e+001	1.676468e+002
4.837231791861996e-002	3.280856e+000	0.000000e+000	7.166579e+001	1.523744e+002
4.855542338736996e-002	3.284414e+000	0.000000e+000	5.556304e+001	1.365248e+002
4.873852885611996e-002	3.288086e+000	0.000000e+000	3.894439e+001	1.200982e+002
4.879411444484764e-002	3.289202e+000	0.000000e+000	3.386680e+001	1.150642e+002
4.884970003357531e-002	3.290325e+000	0.000000e+000	2.876435e+001	1.099990e+002
4.890528562230299e-002	3.291456e+000	0.000000e+000	2.363702e+001	1.049027e+002
4.896087121103067e-002	3.292595e+000	0.000000e+000	1.848483e+001	9.977508e+001
4.901645679975835e-002	3.293741e+000	0.000000e+000	1.330776e+001	9.461631e+001
4.907204238848602e-002	3.294895e+000	0.000000e+000	8.105826e+000	8.942634e+001
4.912762797721371e-002	3.296056e+000	0.000000e+000	2.879021e+000	8.420518e+001
