time	V(Reset,R-PI_GND)	V(pulse)	V(reset)	V(vl)
2.759202704250388e-002	3.262437e+000	0.000000e+000	1.516716e+002	2.135253e+002
2.773453323321259e-002	3.262512e+000	0.000000e+000	1.409150e+002	2.032262e+002
2.787703942392130e-002	3.262650e+000	0.000000e+000	1.297758e+002	1.925106e+002
2.801954561463000e-002	3.262854e+000	0.000000e+000	1.182541e+002	1.813785e+002
2.816205180533871e-002	3.263123e+000	0.000000e+000	1.063498e+002	1.698300e+002
2.830374056091906e-002	3.263440e+000	0.000000e+000	9.420456e+001	1.579998e+002
2.844542931649942e-002	3.263823e+000	0.000000e+000	8.184767e+001	1.459178e+002
2.858711807207978e-002	3.264273e+000	0.000000e+000	6.927918e+001	1.335842e+002
2.872880682766013e-002	3.264789e+000	0.000000e+000	5.649909e+001	1.209989e+002
2.887049558324049e-002	3.265371e+000	0.000000e+000	4.350739e+001	1.081619e+002
2.901218433882085e-002	3.266019e+000	0.000000e+000	3.030409e+001	9.507316e+001
2.915387309440121e-002	3.266734e+000	0.000000e+000	1.688918e+001	8.173276e+001
2.917485392936214e-002	3.266857e+000	0.000000e+000	1.490126e+001	7.975208e+001
2.919583476432308e-002	3.266977e+000	0.000000e+000	1.291101e+001	7.776816e+001
2.921681559928402e-002	3.267096e+000	0.000000e+000	1.091843e+001	7.578097e+001
2.923779643424496e-002	3.267212e+000	0.000000e+000	8.923525e+000	7.379054e+001
2.925877726920589e-002	3.267327e+000	0.000000e+000	6.926294e+000	7.179685e+001
2.927975810416683e-002	3.267439e+000	0.000000e+000	4.926735e+000	6.979991e+001
2.930073893912777e-002	3.267549e+000	0.000000e+000	2.924848e+000	6.779971e+001
2.933261890913335e-002	3.267739e+000	0.000000e+000	-1.212337e-001	6.475443e+001
2.936449887913893e-002	3.267931e+000	0.000000e+000	-3.170891e+000	6.170342e+001
2.939637884914451e-002	3.268125e+000	0.000000e+000	-6.224125e+000	5.864669e+001
2.942825881915009e-002	3.268322e+000	0.000000e+000	-9.280934e+000	5.558422e+001
2.946013878915567e-002	3.268521e+000	0.000000e+000	-1.234132e+001	5.251602e+001
2.949201875916125e-002	3.268722e+000	0.000000e+000	-1.540528e+001	4.944210e+001
2.952389872916683e-002	3.268925e+000	0.000000e+000	-1.847282e+001	4.636244e+001
2.991490519889339e-002	3.271656e+000	0.000000e+000	-5.619395e+001	8.316461e+000
2.999119914420589e-002	3.272228e+000	0.000000e+000	-6.354881e+001	8.602245e-001
2.999501384147152e-002	3.315323e+000	0.000000e+000	-6.387321e+001	5.304236e-001
3.000264323600277e-002	3.434784e+000	0.000000e+000	-6.423032e+001	1.624547e-001
3.001790202506527e-002	3.272430e+000	0.000000e+000	-6.437099e+001	0.000000e+000
3.029256022819027e-002	3.273624e+000	0.000000e+000	-6.398093e+001	0.000000e+000
3.056721843131527e-002	3.274647e+000	0.000000e+000	-6.359336e+001	0.000000e+000
3.084187663444027e-002	3.275498e+000	0.000000e+000	-6.320829e+001	0.000000e+000
3.111653483756527e-002	3.276178e+000	0.000000e+000	-6.282571e+001	0.000000e+000
3.139119304069027e-002	3.276687e+000	0.000000e+000	-6.244564e+001	0.000000e+000
3.166585124381527e-002	3.277025e+000	0.000000e+000	-6.206805e+001	0.000000e+000
3.194050944694027e-002	3.277191e+000	0.000000e+000	-6.169297e+001	0.000000e+000
3.291707194694027e-002	3.281940e+000	0.000000e+000	-6.037334e+001	0.000000e+000
3.389363444694027e-002	3.285812e+000	0.000000e+000	-5.908270e+001	0.000000e+000
3.487019694694027e-002	3.288975e+000	0.000000e+000	-5.782027e+001	0.000000e+000
3.584675944694027e-002	3.291546e+000	0.000000e+000	-5.658533e+001	0.000000e+000
3.682332194694027e-002	3.293629e+000	0.000000e+000	-5.537720e+001	0.000000e+000
3.779988444694027e-002	3.295319e+000	0.000000e+000	-5.419520e+001	0.000000e+000
3.877644694694027e-002	3.296688e+000	0.000000e+000	-5.303872e+001	0.000000e+000
3.987507975944027e-002	3.303959e+000	0.000000e+000	-5.176157e+001	0.000000e+000
3.998570598014339e-002	3.304058e+000	0.000000e+000	-5.163530e+001	0.000000e+000
3.999333537467464e-002	3.444046e+000	0.000000e+000	-5.148662e+001	1.400037e-001
4.000859416373714e-002	3.369190e+000	0.000000e+000	-5.070422e+001	9.051636e-001
4.001240886100277e-002	3.304066e+000	0.000000e+000	-5.039224e+001	1.212880e+000
4.008597802255411e-002	3.304106e+000	0.000000e+000	-4.311697e+001	8.412333e+000
4.015954718410545e-002	3.304123e+000	0.000000e+000	-3.586748e+001	1.559772e+001
4.023311634565679e-002	3.304117e+000	0.000000e+000	-2.864376e+001	2.276904e+001
4.030668550720813e-002	3.304088e+000	0.000000e+000	-2.144582e+001	2.992629e+001
4.038025466875946e-002	3.304036e+000	0.000000e+000	-1.427366e+001	3.706948e+001
4.045382383031081e-002	3.303960e+000	0.000000e+000	-7.127283e+000	4.419860e+001
4.052739299186214e-002	3.303862e+000	0.000000e+000	-6.680600e-003	5.131365e+001
4.055409587272152e-002	3.303819e+000	0.000000e+000	2.565409e+000	5.388655e+001
4.058079875358089e-002	3.303774e+000	0.000000e+000	5.131748e+000	5.645521e+001
4.060750163444027e-002	3.303727e+000	0.000000e+000	7.692336e+000	5.901962e+001
4.063420451529964e-002	3.303677e+000	0.000000e+000	1.024717e+001	6.157980e+001
4.066090739615902e-002	3.303626e+000	0.000000e+000	1.279626e+001	6.413573e+001
4.068761027701839e-002	3.303573e+000	0.000000e+000	1.533960e+001	6.668741e+001
4.071431315787777e-002	3.303517e+000	0.000000e+000	1.787719e+001	6.923486e+001
